id,类型,npcid,文本1,非双选按钮文本导向,选项1文本,选项2文本,按钮1通往id,按钮2通往id,好感度奖励,音乐播放,npc配音
id,dialogue_type,npcid,txt1,next,button1,button2,button1to,button2to,goodfeel_reward,music,audio
int,int,int,string,int,string,string,int,int,string,int,string
1,2,52,嘿~宝贝！给我来<color=#FF6300>几杯酒</color>！,0,我该怎么做？,null,2,0,null,0,null
2,4,52,把方块填满<color=#FF6300>1行</color>或<color=#FF6300>1列</color>进行<color=#FF6300>消除</color>，我会拿走需要的东西！,0,知道了！,null,0,0,null,0,null
3,4,39,这里也太安静了！<color=#FF6300>拿酒来</color>，我去收拾一下DJ台！,0,交给你了！,null,0,0,null,0,null
4,5,39,搞定！现在才有点派对的样子！,0,那就开始狂欢吧！,null,0,0,null,1,null
5,2,3,我要让派对再次伟大！,0,你要怎么做？,null,6,0,null,0,null
6,2,3,我会建一堵墙！,0,用来隔离闹事的家伙？,null,7,0,null,0,null
7,4,3,我会把没喝醉的家伙扔出去！,0,不愧是懂王！,null,0,0,null,0,null
8,2,4,哎呀！你干嘛~,0,这是在干什么？,null,9,0,null,0,null
9,2,4,我在展示我的性感舞蹈！,0,看上去像是某种篮球动作！,null,10,0,null,0,null
10,4,4,这叫铁山靠！,0,至少得练两年半！,null,0,0,null,0,null
11,2,5,我要在派对上找一位新男友！,0,那你前男友呢？,null,12,0,null,0,null
12,4,5,灵感来了，被用来写歌了。,0,这算是某种消耗品吗...,null,0,0,null,0,null
13,2,6,吃我水枪biubiubiu~,0,你怎么胖成这样？,null,14,0,null,0,null
14,4,6,想去选角参与雷神的，结果失败了！,0,那你得赶快把多余的“神力”减掉！,null,0,0,null,0,null
15,2,7,你的蛋糕非常没有品味！,0,有什么问题吗？,null,16,0,null,0,null
16,4,7,要是你在上面咬一口，我的粉丝会买1000万份！,0,这不是重点吧！,null,0,0,null,0,null
17,2,8,快给我满上！,0,哇，你喝了多少！,null,18,0,null,0,null
18,4,8,才18杯!,0,家具很贵的，您小心点！,null,0,0,null,0,null
19,2,9,这场派对简直是“火星”级的！,0,这是一种赞美吗？,null,20,0,null,0,null
20,4,9,如果你愿意替我去踢一脚建国的屁股！,0,你还是自己去吧！,null,0,0,null,0,null
21,2,10,Man！,0,吓我一跳！,null,22,0,null,0,null
22,4,10,动作要快！姿势要帅！就像上篮一样！,0,把你胳膊收起来，肘到别的客人了,null,0,0,null,0,null
23,2,11,能快一点吗？,0,你急着上台跳舞吗？,null,24,0,null,0,null
