ID,方块形状,横,竖,常规刷新,权重,难度
id,block,length,width,normal,weight,difficulty
int,string,int,int,int,int,int
1,1,1,1,0,0,0
2,1;2,2,1,1,15,1
3,1;2,1,2,1,15,1
4,1;2;3,3,1,1,10,3
5,1;2;3,1,3,1,10,3
6,1;2;3;4,4,1,1,5,5
7,1;2;3;4,1,4,1,5,5
8,1;2;3,2,2,1,10,2
9,1;2;4,2,2,1,10,2
10,1;3;4,2,2,1,10,2
11,2;3;4,2,2,1,10,2
12,1;2;3;6;9,3,3,1,5,5
13,1;2;3;4;7,3,3,1,5,5
14,1;4;7;8;9,3,3,1,5,5
15,3;6;7;8;9,3,3,1,5,5
16,1;2;4;6,2,3,1,5,4
17,1;2;3;5,2,3,1,5,4
18,1;3;5;6,2,3,1,5,4
19,2;4;5;6,2,3,1,5,4
20,1;2;3;6,3,2,1,5,4
21,1;2;3;4,3,2,1,5,4
22,1;4;5;6,3,2,1,5,4
23,3;4;5;6,3,2,1,5,4
24,1;3;4;5,2,3,1,10,4
25,2;3;4;6,2,3,1,10,4
26,2;4;5;6,3,2,1,10,4
27,1;2;3;5,3,2,1,10,4
28,1;3;4;6,2,3,1,10,4
29,2;3;4;5,2,3,1,10,4
30,1;2;5;6,3,2,1,10,4
31,2;3;4;5,3,2,1,10,4
32,1;2;3;4,2,2,1,20,3
33,1;2;3;4;5;6;7;8;9,3,3,1,5,9
34,1;5;9,3,3,1,10,6
35,3;5;7,3,3,1,10,6
36,1;4,2,2,1,10,5
37,2;3,2,2,1,10,5
38,2;4;5;6;8,3,3,1,10,7
39,1;2;3;4;5;6,2,3,1,10,8
40,1;2;3;4;5;6,3,2,1,10,8
