ID,名称,颜色图片,透明底图,特效,放下特效,描述,是否需要背景
id,name,img,img1,fx,fx_putdown,desc,background
int,string,string,string,string,string,string,int
1,红色,UI_block_color_hong,null,FX_Frame_Red,FX_Frame_Red,null,0
2,蓝色,UI_block_color_lan,null,FX_Frame_Blue,FX_Frame_Blue,null,0
3,绿色,UI_block_color_lv,null,FX_Frame_Green,FX_Frame_Green,null,0
4,黄色,UI_block_color_huang,null,FX_Frame_Yellow,FX_Frame_Yellow,null,0
5,青色,UI_block_color_dian,null,FX_Frame_Green02,FX_Frame_Green02,null,0
6,果汁潘趣酒,UI_block_color_gzpqj,Icon_order_gzpqj,FX_Frame_White,FX_Frame_White,甜蜜爆表！,1
7,披萨切片,UI_block_color_pisa,Icon_order_pisa,FX_Frame_White,FX_Frame_White,芝士就是力量！,1
8,野格,UI_block_color_yege,Icon_order_yege,FX_Frame_White,FX_Frame_White,野兽启动按钮！,1
9,炸薯条,UI_block_color_shutiaolan,Icon_order_shutiaolan,FX_Frame_White,FX_Frame_White,今晚盐值担当！,1
10,派对王冠​,UI_block_color_wg,Icon_order_wg,FX_Frame_White,FX_Frame_White,戴上即主角,1
11,朗姆酒,UI_block_color_lmj,Icon_order_lmj,FX_Frame_White,FX_Frame_White,海盗船长！嘿咻嘿咻~,1
12,拍立得​,UI_block_color_pld,Icon_order_pld,FX_Frame_White,FX_Frame_White,三秒出片，终身社死。,1
13,经典可乐,UI_block_color_kele,Icon_order_kele,FX_Frame_White,FX_Frame_White,爷青回的气泡。,1
14,骰子​,UI_block_color_sz,Icon_order_sz,FX_Frame_White,FX_Frame_White,今日欧非判定器。,1
15,莫吉托,UI_block_color_mojituo,Icon_order_mojituo,FX_Frame_White,FX_Frame_White,“麻烦给我的爱人来一杯...”,1
16,玩具手铐,UI_block_color_wjsk,Icon_order_wjsk,FX_Frame_White,FX_Frame_White,行动-1，心动+1,1
17,龙舌兰Shots,UI_block_color_shots,Icon_order_shots,FX_Frame_White,FX_Frame_White,舔、嚼、吞！,1
18,充电宝,UI_block_color_cdb,Icon_order_cdb,FX_Frame_White,FX_Frame_White,不专心跳舞的家伙们...,1
19,高端白酒,UI_block_color_mt,Icon_order_mt,FX_Frame_White,FX_Frame_White,“十二岁酒壮怂人胆”,1
20,鬼脸面具,UI_block_color_youlingmianju,Icon_order_youlingmianju,FX_Frame_White,FX_Frame_White,吓唬谁呢？,1
21,星空“飓风”,UI_block_color_jfjwj,Icon_order_jfjwj,FX_Frame_White,FX_Frame_White,三秒卷走烦恼！,1
22,一次性手套,UI_block_color_duleisipng,Icon_order_duleisipng,FX_Frame_White,FX_Frame_White,这真是小龙虾手套！,1
23,苏打水​,UI_block_color_sudashui,Icon_order_sudashui,FX_Frame_White,FX_Frame_White,酒精过敏就不能参加派对？,1
24,小红杯,UI_block_color_bz,Icon_order_hbz,FX_Frame_White,FX_Frame_White,派对游戏C位！,1
25,麦克风​,UI_block_color_semkf,Icon_order_ktvmkf,FX_Frame_White,FX_Frame_White,“给我一个把世界都毁掉的高音”,1
26,威士忌,UI_block_color_weishiji,Icon_order_weishiji,FX_Frame_White,FX_Frame_White,摇摇晃摇~,1
27,尤克里里,UI_block_color_youkelili,Icon_order_youkelili,FX_Frame_White,FX_Frame_White,才华搭配可爱，不赖！,1
28,香槟,UI_block_color_xiangbin,Icon_order_xiangbin,FX_Frame_White,FX_Frame_White,开心开心开香槟,1
29,桶装啤酒,UI_block_color_pjt,Icon_order_pjt,FX_Frame_White,FX_Frame_White,欢乐时光~就要开始了！,1
30,伏特加,UI_block_color_ftj,Icon_order_ftj,FX_Frame_White,FX_Frame_White,无味的坏主意发生器。,1
999,透明,UI_zdn_img_touming,null,FX_Frame_White,FX_Frame_White,null,0
