id,类型（1npc2主角3通话结束）,文本1,语音1,非双选按钮文本导向,选项1文本,选项2文本,按钮1通往id,按钮2通往id,奖励
id,dialogue_type,txt1,vioce,next,button1,button2,button1to,button2to,reward
int,int,string,string,int,string,string,int,int,string
1,1,你好,null,0,你好,不好,2,3,null
2,2,你好,null,4,null,null,0,0,null
3,2,不好,null,6,null,null,0,0,null
4,1,你好回答1,null,5,null,null,0,0,null
5,1,你好回答2,null,0,结局1,结局2,7,8,null
6,2,不好回答1,null,0,结局3,结局4,9,10,null
7,1,结局1,null,0,null,null,0,0,2#100
8,1,结局2,null,0,null,null,0,0,2#80
9,1,结局3,null,0,null,null,0,0,2#60
10,1,结局4,null,0,null,null,0,0,2#40
11,1,第二次通话,null,0,你好,不好,12,13,null
12,2,你好,null,14,null,null,0,0,null
13,2,不好,null,16,null,null,0,0,null
14,1,你好回答1,null,15,null,null,0,0,null
15,1,你好回答2,null,0,结局1,结局2,17,18,null
16,2,不好回答1,null,0,结局3,结局4,19,20,null
17,1,结局1,null,0,null,null,0,0,2#100
18,1,结局2,null,0,null,null,0,0,2#80
19,1,结局3,null,0,null,null,0,0,2#60
20,1,结局4,null,0,null,null,0,0,2#40
