ID,类型,值,效果图,音效,消除额外奖励金币数量,消除得分,色彩
id,type,num,img,audio,reward,score,color
int,int,int,string,string,int,int,string
1,1,2,FX_C_cn_combox2,fight_combo,10,40,255#255#255
2,1,3,FX_C_cn_combox3,fight_combo,20,60,0#255#0
3,1,4,FX_C_cn_combox4,fight_combo,30,80,0#0#255
4,1,5,FX_C_cn_combox5,fight_combo,40,100,255#0#255
5,1,6,FX_C_cn_combox6,fight_combo,60,200,255#255#255
6,1,7,FX_C_cn_combox7,fight_combo,80,300,255#0#0
7,1,8,FX_C_cn_combox8,fight_combo,100,400,255#0#0
8,2,2,FX_C1_Good,fight_hit_good,8,16,null
9,2,3,FX_C1_NIce,fight_hit_nice,16,24,null
10,2,4,FX_C1_PERFECT,fight_hit_perfect,16,32,null
11,2,5,FX_C1_Amazing,fight_hit_amazing,24,48,null
12,2,6,FX_C1_Excellent!,fight_hit_excellent,24,64,null
13,2,7,FX_C1_EPIC!,fight_hit_epic,32,72,null
14,1,1,null,null,0,8,null
