id,图片,提供好感,专属npc,专属加成,价格,解锁好感等级,解锁关卡,每日限购购买次数,对话角色与对话id
id,img,good_feeling,npcId,exclusive_addition,price,unlockgoodfeel,unlocklevel,buytimes,txtid
int,string,int,int,int,string,int,int,int,string
1,null,50,1,100,1#100,1,1,0,1#100003;2#100003;3#100003;4#100003;5#100003
2,null,51,0,0,1#100,1,2,2,1#100003;2#100003;3#100003;4#100003;5#100004
3,null,52,0,0,1#100,1,3,0,1#100003;2#100003;3#100003;4#100003;5#100005
4,null,53,0,0,1#100,1,4,0,1#100003;2#100003;3#100003;4#100003;5#100006
5,null,54,0,0,1#100,1,5,0,1#100003;2#100003;3#100003;4#100003;5#100007
6,null,55,0,0,1#100,1,6,0,1#100003;2#100003;3#100003;4#100003;5#100008
7,null,56,0,0,1#100,1,7,0,1#100003;2#100003;3#100003;4#100003;5#100009
8,null,57,0,0,1#100,1,8,0,1#100003;2#100003;3#100003;4#100003;5#100010
9,null,58,0,0,1#100,1,9,0,1#100003;2#100003;3#100003;4#100003;5#100011
10,null,59,0,0,1#100,1,10,0,1#100003;2#100003;3#100003;4#100003;5#100012
11,null,60,0,0,1#100,1,11,0,1#100003;2#100003;3#100003;4#100003;5#100013
12,null,61,0,0,1#100,1,12,0,1#100003;2#100003;3#100003;4#100003;5#100014
13,null,62,0,0,1#100,1,13,0,1#100003;2#100003;3#100003;4#100003;5#100015
14,null,63,0,0,1#100,1,14,0,1#100003;2#100003;3#100003;4#100003;5#100016
15,null,64,0,0,1#100,1,15,0,1#100003;2#100003;3#100003;4#100003;5#100017
16,null,65,0,0,1#100,1,16,0,1#100003;2#100003;3#100003;4#100003;5#100018
17,null,66,0,0,1#100,1,17,0,1#100003;2#100003;3#100003;4#100003;5#100019
18,null,67,0,0,1#100,1,18,0,1#100003;2#100003;3#100003;4#100003;5#100020
19,null,68,0,0,1#100,1,19,0,1#100003;2#100003;3#100003;4#100003;5#100021
20,null,69,0,0,1#100,1,20,0,1#100003;2#100003;3#100003;4#100003;5#100022
