id,组,类型,值,音效
id,group,type,num,audio
int,int,int,string,string
1,1,2,Story01_001,Story01_001_audio.ogg
2,1,1,1,null
3,1,2,Story01_002,Story01_002_audio.ogg
4,1,1,2,null
5,1,2,Story01_003,Story01_003_audio.ogg
6,1,1,3,null
7,1,1,4,null
8,1,1,5,null
9,1,1,6,null
10,1,1,7,null
11,1,1,8,null
12,1,1,9,null
13,1,1,10,null
14,1,1,11,null
15,1,2,Story01_004,Story01_004_audio.ogg
16,1,5,bgm_long_time_no_see.ogg,null
17,1,3,2,null
18,1,2,Story02_001,Story02_001_audio.ogg
19,1,1,12,null
20,1,2,Story02_002,Story02_002_audio.ogg
21,1,1,13,null
22,1,1,14,null
23,1,1,15,null
24,1,1,16,null
25,1,1,17,null
26,1,4,1,null
27,1,3,1,null
28,2,2,Story03_001_02,null
29,2,1,18,null
30,2,1,19,null
31,2,1,20,null
32,2,2,Story03_001,Story03_001_002_003_audio.ogg
33,3,2,Story03_002,Story03_001_002_003_audio.ogg
34,3,2,Story03_003,Story03_001_002_003_audio.ogg
35,3,1,21,null
36,3,1,22,null
37,3,1,23,null
38,3,1,24,null
39,3,2,Story03_004,Story03_004_audio.ogg
40,3,1,25,null
41,3,1,26,null
42,3,1,27,null
43,3,1,28,null
44,3,5,bgm_long_time_no_see.ogg,null
45,3,3,2,null
46,3,2,Story04_001_Chapter2,Story04_001_audio.ogg
47,3,1,29,null
48,3,1,30,null
49,3,1,31,null
50,3,1,32,null
51,3,1,33,null
52,3,1,34,null
53,3,3,1,null
54,4,3,2,null
55,4,2,Story04_002_Chapter2,Story04_002_004_audio.ogg
56,4,3,2,null
57,4,1,35,null
58,4,1,36,null
59,4,1,37,null
60,4,1,38,null
61,4,1,39,null
62,4,1,40,null
63,4,2,Story04_003_Chapter2,Story04_003_audio.ogg
64,4,1,41,null
65,4,1,42,null
66,4,1,43,null
67,4,1,44,null
68,4,1,45,null
69,4,1,46,null
70,4,1,47,null
71,4,1,48,null
72,4,1,49,null
73,4,1,50,null
74,4,1,51,null
75,4,1,52,null
76,4,1,53,null
77,4,1,54,null
78,4,2,Story04_004_Chapter2,Story04_002_004_audio.ogg
79,4,3,1,null
