id,npc名称,对话位置,对话文本,立绘配图,对话配音
id,npcid,talkside,txt1,img,audio
int,string,int,string,string,string
1,Toby,1,终于...,a_bq2_2048bg,voice_toby_tanqi
2,Toby,1,这就是为什么我不想回来...,a_bq1_2048bg,toby_wunai
3,Dex,2,抱歉，的士司机开过头了，你这是游回来的吗？怎么这个模样？,b_bq1_2048bg,
4,Toby,1,有个蠢蛋的司机开车溅了我一身！,a_bq1_2048bg,voice_toby_fanu
5,Dex,2,哈哈，这里的司机很狂野的.,b_bq4_2048bg,dex_haha
6,Dex,2,你怎么突然想着回来？,b_bq5_2048bg,dex_emmhmm
7,Toby,1,我被炒鱿鱼了...,a_bq4_2048bg,voice_toby_tanqi
8,Dex,2,哦？你泡了老板的马子？,b_bq4_2048bg,dex_ho
9,Toby,1,Jenny和我老板在一起了...,a_bq4_2048bg,voice_toby_tanqi
10,Dex,2,呃...,b_bq4_2048bg,dex_eee
11,Dex,2,我们进去说吧!,b_bq5_2048bg,dex_emmhmm
12,Toby,1,这是在干啥?,a_bq1_2048bg,toby_huh
13,Nina,2,这不是我们的酷哥Toby吗？,c_bq1_2048bg,nina_ohhh
14,Toby,1,Nina！,a_bq3_2048bg,toby_heythere
15,Dex,2,Nina想为你开个欢迎派对，不过这里条件实在太差了...只能...阿嚏！,b_bq5_2048bg,dex_emmhmm
16,Nina,2,如果想早点开饭，我需要你们打下手。,c_bq5_2048bg,nina_hmm
17,Dex,2,我也来帮忙！,b_bq5_2048bg,dex_yeah
18,Dex,2,老兄记得去<color=#FF6300>通讯录</color>加我好友，我原来的账号被封禁了。,b_bq4_2048bg,dex_emmhmm
19,Nina,2,我都不想猜为什么...,c_bq5_2048bg,nina_Sheesh
20,Dex,2,这叫艺术！晚上回去给发点儿<color=#FF6300>“好康的”</color>！,b_bq5_2048bg,dex_emmhmm
21,Nina,2,Ray先生，还记得这里吗？,c_bq1_2048bg,nina_ohwell
22,Ray,2,给我酒！,e_bq1_2048bg,ray_drunk
23,Ray,2,这是新的酒馆吗？,e_bq1_2048bg,ray_Ehh
24,Nina,2,哎！,c_bq4_2048bg,nina_ay
25,Ray,2,Toe-be！,e_bq3_2048bg,ray_grrr
26,Toby,1,我叫Toby，不是Toe-be!,a_bq6_2048bg,toby_wunai
27,Ray,2,Toe-be！Toe-be！,e_bq2_2048bg,ray_hengewrr
28,Toby,1,好吧！,a_bq6_2048bg,voice_toby_tanqi
29,Ray,2,音乐大一点儿！杰弗里！派对之王回来了！,e_bq2_2048bg,ray_yeahwhoah
30,Ray,2,把纸杯蛋糕扔进酒里，搅个稀巴烂！,e_bq1_2048bg,ray_yeahwhoah
31,Ray,2,把那该死的香肠塞到灯球里，对！对！对！,e_bq2_2048bg,ray_crazy
32,Nina,2,医生说，他的状态不太稳定，但疗养院下个月也会关门...,c_bq4_2048bg,nina_ay
33,Toby,1,没关系，我会照顾他的，希望晚上的派对可以让他好一点！,a_bq5_2048bg,toby_hmm
34,Nina,2,上帝保佑。,c_bq4_2048bg,nina_thankgod
35,Doyle,2,停下！警察！,f_bq2_2048bg,doyle_Argh
36,Doyle,2,我要你们这些小鬼立刻结束这场闹剧！,f_bq2_2048bg,doyle_Bah
37,Dex,2,这是私人领地，我们是合法派对！,b_bq3_2048bg,dex_hmm
38,Doyle,2,现在已经10点了！我们收到了投诉！,f_bq2_2048bg,doyle_Grrr
39,Toby,1,我们会在12点前结束,a_bq5_2048bg,toby_hmm
40,Doyle,2,没门儿！,f_bq3_2048bg,doyle_nope
41,Ray,2,我才是这里的警长！,e_bq2_2048bg,ray_crazy
42,Doyle,2,Ray先生，您出院了！但...,f_bq1_2048bg,doyle_ohwell
43,Ray,2,拿着我的豁免令滚出这个派对！,e_bq2_2048bg,ray_Hhuhhh
44,Doyle,2,<color=#FF6300>派对豁免令?</color>,f_bq3_2048bg,doyle_what
45,Doyle,2,我从来没听说过这个，但确实有市政厅的签字。,f_bq3_2048bg,doyle_hmm
46,Nina,2,没想到这东西真的存在！,c_bq2_2048bg,nina_eee
47,Doyle,2,你知道？,f_bq3_2048bg,doyle_hmmuh
48,Nina,2,上世纪派对为小岛带来了很多旅游创收，市政厅颁发了这个豁免令给Ray先生,c_bq5_2048bg,nina_hmm
49,Nina,2,所以，您无权管辖我们，如果这个豁免令没有过期！,c_bq5_2048bg,nina_hmm
50,Doyle,2,有效日期确实还有半年...,f_bq1_2048bg,doyle_Grrr
51,Doyle,2,但鬼知道是不是你编出来骗我的，你们必须结束派对！,f_bq3_2048bg,doyle_Mmmh
52,Nina,2,难道我们会伪造市政厅的签字吗？,c_bq5_2048bg,nina_ohwell
53,Doyle,2,见鬼，你们是对的...,f_bq1_2048bg,doyle_Argh
54,Ray,2,警长干倒了恶棍！加一分！,e_bq2_2048bg,ray_crazy
