表頭id,繁體,英語
id,complexFont,english
int,string,string
1,红色,[LID:1]
2,蓝色,[LID:2]
3,绿色,[LID:3]
4,黄色,[LID:4]
5,青色,[LID:5]
6,果汁潘趣酒,[LID:6]
7,披萨切片,[LID:7]
8,野格,[LID:8]
9,炸薯条,[LID:9]
10,派对王冠​,[LID:10]
11,朗姆酒,[LID:11]
12,拍立得​,[LID:12]
13,经典可乐,[LID:13]
14,骰子​,[LID:14]
15,莫吉托,[LID:15]
16,玩具手铐,[LID:16]
17,龙舌兰Shots,[LID:17]
18,充电宝,[LID:18]
19,高端白酒,[LID:19]
20,鬼脸面具,[LID:20]
21,星空“飓风”,[LID:21]
22,一次性手套,[LID:22]
23,苏打水​,[LID:23]
24,小红杯,[LID:24]
25,麦克风​,[LID:25]
26,威士忌,[LID:26]
27,尤克里里,[LID:27]
28,香槟,[LID:28]
29,桶装啤酒,[LID:29]
30,伏特加,[LID:30]
31,透明,[LID:31]
32,甜蜜爆表！,[LID:32]
33,芝士就是力量！,[LID:33]
34,野兽启动按钮！,[LID:34]
35,今晚盐值担当！,[LID:35]
36,戴上即主角,[LID:36]
37,海盗船长！嘿咻嘿咻~,[LID:37]
38,三秒出片，终身社死。,[LID:38]
39,爷青回的气泡。,[LID:39]
40,今日欧非判定器。,[LID:40]
41,“麻烦给我的爱人来一杯...”,[LID:41]
42,行动-1，心动+1,[LID:42]
43,舔、嚼、吞！,[LID:43]
44,不专心跳舞的家伙们...,[LID:44]
45,“十二岁酒壮怂人胆”,[LID:45]
46,吓唬谁呢？,[LID:46]
47,三秒卷走烦恼！,[LID:47]
48,这真是小龙虾手套！,[LID:48]
49,酒精过敏就不能参加派对？,[LID:49]
50,派对游戏C位！,[LID:50]
51,“给我一个把世界都毁掉的高音”,[LID:51]
52,摇摇晃摇~,[LID:52]
53,才华搭配可爱，不赖！,[LID:53]
54,开心开心开香槟,[LID:54]
55,欢乐时光~就要开始了！,[LID:55]
56,无味的坏主意发生器。,[LID:56]
57,嘿~宝贝！给我来<color=#FF6300>几杯酒</color>！,[LID:57]
58,把方块填满<color=#FF6300>1行</color>或<color=#FF6300>1列</color>进行<color=#FF6300>消除</color>，我会拿走需要的东西！,[LID:58]
59,这里也太安静了！<color=#FF6300>拿酒来</color>，我去收拾一下DJ台！,[LID:59]
60,搞定！现在才有点派对的样子！,[LID:60]
61,我要让派对再次伟大！,[LID:61]
62,我会建一堵墙！,[LID:62]
63,我会把没喝醉的家伙扔出去！,[LID:63]
64,哎呀！你干嘛~,[LID:64]
65,我在展示我的性感舞蹈！,[LID:65]
66,这叫铁山靠！,[LID:66]
67,我要在派对上找一位新男友！,[LID:67]
68,灵感来了，被用来写歌了。,[LID:68]
69,吃我水枪biubiubiu~,[LID:69]
70,想去选角参与雷神的，结果失败了！,[LID:70]
71,你的蛋糕非常没有品味！,[LID:71]
72,要是你在上面咬一口，我的粉丝会买1000万份！,[LID:72]
73,快给我满上！,[LID:73]
74,才18杯!,[LID:74]
75,这场派对简直是“火星”级的！,[LID:75]
76,如果你愿意替我去踢一脚建国的屁股！,[LID:76]
77,Man！,[LID:77]
78,动作要快！姿势要帅！就像上篮一样！,[LID:78]
79,能快一点吗？,[LID:79]
80,不，我着急去厕所！,[LID:80]
81,大部分情况下是因为裤子太紧了...,[LID:81]
82,我准备用肉来编织新的裙子,[LID:82]
83,那我就当你同意了！,[LID:83]
84,我和时间老人做了一笔生意~,[LID:84]
85,当然，而且我只和他签了一份老将底薪合同。,[LID:85]
86,你为什么不准我抽烟！,[LID:86]
87,我这是电子烟！,[LID:87]
88,你觉得派对最大的难点是什么？,[LID:88]
89,酒精是不长眼的，音乐是要手动切的，游泳池是要放水的！,[LID:89]
90,昨天我被恶魔附身了！,[LID:90]
91,但它重量太低了，还不够我做硬拉。,[LID:91]
92,你知道我为什么要随身带着道具枪吗？,[LID:92]
93,这样我不用说话也能让孩子们写作业。,[LID:93]
94,我们活在虚拟世界，美梦转瞬即逝。,[LID:94]
95,夜之城太寡淡了，不如你这里最烈的酒。,[LID:95]
96,你这个地方太适合拍电影了！,[LID:96]
97,混乱的派对与血腥的枪战是绝配！,[LID:97]
98,我本是辅助，今晚来打野！,[LID:98]
99,如何呢？又能怎！,[LID:99]
100,能不能动作快点？,[LID:100]
101,全世界为我都等了你一分钟，这是一种犯罪！,[LID:101]
102,他们都叫我狗爷。M3~,[LID:102]
103,从你出生到现在，我就没下过榜单。M3~,[LID:103]
104,For sure bro! 你妈当年放的胎教曲里都有我。,[LID:104]
105,不喜欢酒精，水才是我的饮品。,[LID:105]
106,沉迷酒水只会让人虚度光阴！,[LID:106]
107,这个派对实在是太短暂了！,[LID:107]
108,时间是相对的，美好总是短暂！,[LID:108]
109,为了帝国干杯！,[LID:109]
110,呃，好吧为了我还活着干杯！,[LID:110]
111,你应该去当个律师或者医生，而不是在这里虚度时间！,[LID:111]
112,我只是在这里寻找万中无一的武林高手！,[LID:112]
113,啊啊啊啊啊！,[LID:113]
114,我要喝手磨咖啡！！！,[LID:114]
115,你这里服务费怎么收？,[LID:115]
116,我看你是真的想和我拼一下子！,[LID:116]
117,我今天要穿迷你裙还是吊带袜？,[LID:117]
118,你们这些年轻人真是不懂欣赏！,[LID:118]
119,成功返回坐标！,[LID:119]
120,来参加天网毁灭人类前最好的派对！,[LID:120]
121,我今天美吗？,[LID:121]
122,因为这是品如的衣服~,[LID:122]
123,我该怎么做？,[LID:123]
124,知道了！,[LID:124]
125,交给你了！,[LID:125]
126,那就开始狂欢吧！,[LID:126]
127,你要怎么做？,[LID:127]
128,用来隔离闹事的家伙？,[LID:128]
129,不愧是懂王！,[LID:129]
130,这是在干什么？,[LID:130]
131,看上去像是某种篮球动作！,[LID:131]
132,至少得练两年半！,[LID:132]
133,那你前男友呢？,[LID:133]
134,这算是某种消耗品吗...,[LID:134]
135,你怎么胖成这样？,[LID:135]
136,那你得赶快把多余的“神力”减掉！,[LID:136]
137,有什么问题吗？,[LID:137]
138,这不是重点吧！,[LID:138]
139,哇，你喝了多少！,[LID:139]
140,家具很贵的，您小心点！,[LID:140]
141,这是一种赞美吗？,[LID:141]
142,你还是自己去吧！,[LID:142]
143,吓我一跳！,[LID:143]
144,把你胳膊收起来，肘到别的客人了,[LID:144]
145,你急着上台跳舞吗？,[LID:145]
146,还以为你摸裆是在舞蹈练习呢...,[LID:146]
