关卡,模式（1订单2得分）,目标,初始方块与颜色,本关订单开始数与色彩解锁,色彩,初始物品库（色彩库）,难度池（elo专用）,物品生成概率（百分）,过于简单时难度与权重,普通难度时难度与权重,过于困难时难度与权重,elo检测阈值（已有块）,elo基础概率（百分）,复活elo增值,通关奖励,是否开启付费订单位,是否开启广告订单位,关卡预设,金币位消耗,boss关标记,机制弹窗
id,modle,modletarget,initial_block,color_unlock,base_color,base_item,block_pool,item_percent,simple,normal,hard,elo_star,elo_percent,elo_dead,reward,payorder,adsorder,level_map,payorder_need,boss,mechanism
int,int,int,string,string,string,string,int,int,string,string,string,int,int,int,string,int,int,string,int,int,int
1,1,4,32#4;39#2;33#4,null,2;4,6,1,35,1#25;3#60;8#10;9#5,1#35;3#55;8#10,1#80;3#20,25,80,40,2#1,1,0,1-1,100,0,0
2,1,4,3#4;15#2;40#3,3#7,2;3;4,6,1,35,1#25;3#60;8#10;9#5,1#35;3#55;8#10,1#80;3#20,25,80,40,2#1,1,1,1-2,100,0,0
3,1,4,39#5;32#1;32#4,3#8,1;2;3;4;5,6;7,1,35,1#15;2#25;3#45;8#15,1#20;2#35;3#35;8#10,1#60;2#40,25,80,40,2#1,1,1,1-3,200,0,1
4,1,4,18#5;19#2;32#5,3#9,2;5,6;7;8,1,35,1#15;2#25;3#45;8#15,1#20;2#35;3#35;8#10,1#60;2#40,25,80,40,2#1,1,1,1-4,200,0,0
5,1,4,12#1;13#4;14#5,null,1;2;3;4;5,7;8;9,2,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#20;4#20;5#10,1#30;2#30;3#25;4#15,25,80,40,2#1,1,1,1-5,300,1,0
6,1,5,32#3;23#4;21#3,4#10,3;4,7;8;9,1,50,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,25,60,40,2#1,1,1,1-6,300,0,8
7,1,5,37#1;37#3;37#1,null,1;3,8;9;10,1,50,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-7,300,0,0
8,1,5,25#5;12#4;14#5,4#11,4;5,8;9;10,2,35,2#25;3#40;8#5;4#20;5#10,1#10;2#40;3#15;8#5;4#20;5#10,1#30;2#30;3#25;4#15,30,60,40,2#1,1,1,1-8,300,0,0
