订单id,所属关卡,npc库,订单需求库
id,level,npc,npcitem
int,int,int,int
1,1,1,1
2,1,2,1
3,1,3,1
4,2,3,1
5,2,3,1
6,2,3,10002
7,2,3,2
8,2,3,2
9,3,3,2
10,3,3,2
11,3,3,10003
12,3,3,3
13,3,3,3
14,3,3,3
15,3,3,3
16,3,3,3
17,4,3,3
18,4,3,3
19,4,3,10004
20,4,3,4
21,4,3,4
22,4,3,4
23,4,3,4
24,4,3,4
25,5,4,4
26,5,5,4
27,5,5,4
28,5,5,4
29,5,5,4
30,5,5,4
31,5,5,4
32,5,5,4
33,6,5,4
34,6,5,4
35,6,5,4
36,6,5,10005
37,6,5,5
38,6,5,5
39,6,5,5
40,6,5,5
41,7,5,5
42,7,5,5
43,7,5,5
44,7,5,5
45,7,5,5
46,7,5,5
47,7,5,5
48,7,5,5
49,8,5,5
50,8,5,5
51,8,5,5
52,8,5,10006
53,8,5,6
54,8,5,6
55,8,5,6
56,8,5,6
57,9,5,6
58,9,5,6
59,9,5,6
60,9,5,6
61,9,5,6
62,9,5,6
63,9,5,6
64,9,5,6
65,10,6,6
66,10,7,6
67,10,7,6
68,10,7,10007
69,10,7,7
70,10,7,7
71,10,7,7
72,10,7,7
73,11,7,7
74,11,7,7
75,11,7,7
76,11,7,7
77,11,7,7
78,11,7,7
79,11,7,7
80,11,7,7
81,12,7,7
82,12,7,7
83,12,7,7
84,12,7,7
85,12,7,7
86,12,7,7
87,12,7,7
88,12,7,7
89,13,7,7
90,13,7,7
91,13,7,7
92,13,7,7
93,13,7,7
94,13,7,7
95,13,7,7
96,13,7,7
97,14,7,7
98,14,7,7
99,14,7,7
100,14,7,10008
101,14,7,8
102,14,7,8
103,14,7,8
104,14,7,8
105,15,8,8
106,15,9,8
107,15,9,8
108,15,9,8
109,15,9,8
110,15,9,8
111,15,9,8
112,15,9,8
113,16,9,8
114,16,9,8
115,16,9,8
116,16,9,8
117,16,9,8
118,16,9,8
119,16,9,8
120,16,9,8
121,17,9,8
122,17,9,8
123,17,9,8
124,17,9,8
125,17,9,8
126,17,9,8
127,17,9,8
128,17,9,8
129,18,9,8
130,18,9,8
131,18,9,8
132,18,9,10009
133,18,9,9
134,18,9,9
135,18,9,9
136,18,9,9
137,19,9,9
138,19,9,9
139,19,9,9
140,19,9,9
141,19,9,9
142,19,9,9
143,19,9,9
144,19,9,9
145,20,10,9
146,20,11,9
147,20,11,9
148,20,11,9
149,20,11,9
150,20,11,9
151,20,11,9
152,20,11,9
153,21,11,9
154,21,11,9
155,21,11,9
156,21,11,9
157,21,11,9
158,21,11,9
159,21,11,9
160,21,11,9
161,21,11,9
162,21,11,9
163,22,11,9
164,22,11,9
165,22,11,9
166,22,11,9
167,22,11,9
168,22,11,9
169,22,11,9
170,22,11,9
171,23,11,9
172,23,11,9
173,23,11,9
174,23,11,9
175,23,11,9
176,23,11,9
177,23,11,9
178,23,11,9
179,24,11,9
180,24,11,9
181,24,11,9
182,24,11,9
183,24,11,9
184,24,11,9
185,24,11,9
186,24,11,9
187,25,12,9
188,25,13,9
189,25,13,9
190,25,13,9
191,25,13,9
192,25,13,9
193,25,13,9
194,25,13,9
195,26,13,9
196,26,13,9
197,26,13,9
198,26,13,10010
199,26,13,10
200,26,13,10
201,26,13,10
202,26,13,10
203,27,13,10
204,27,13,10
205,27,13,10
206,27,13,10
207,27,13,10
208,27,13,10
209,27,13,10
210,27,13,10
211,28,13,10
212,28,13,10
213,28,13,10
214,28,13,10
215,28,13,10
216,28,13,10
217,28,13,10
218,28,13,10
219,29,13,10
220,29,13,10
221,29,13,10
222,29,13,10
223,29,13,10
224,29,13,10
225,29,13,10
226,29,13,10
227,30,14,10
228,30,15,10
229,30,15,10
230,30,15,10
231,30,15,10
232,30,15,10
233,30,15,10
234,30,15,10
235,31,15,10
236,31,15,10
237,31,15,10
238,31,15,10
239,31,15,10
240,31,15,10
241,31,15,10
242,31,15,10
243,32,15,10
244,32,15,10
245,32,15,10
246,32,15,10
247,32,15,10
248,32,15,10
249,32,15,10
250,32,15,10
251,33,15,10
252,33,15,10
253,33,15,10
254,33,15,10
255,33,15,10
256,33,15,10
257,33,15,10
258,33,15,10
259,34,15,10
260,34,15,10
261,34,15,10
262,34,15,10011
263,34,15,11
264,34,15,11
265,34,15,11
266,34,15,11
267,35,16,11
268,35,17,11
269,35,17,11
270,35,17,11
271,35,17,11
272,35,17,11
273,35,17,11
274,35,17,11
275,36,17,11
276,36,17,11
277,36,17,11
278,36,17,11
279,36,17,11
280,36,17,11
281,36,17,11
282,36,17,11
283,37,17,11
284,37,17,11
285,37,17,11
286,37,17,11
287,37,17,11
288,37,17,11
289,37,17,11
290,37,17,11
291,38,17,11
292,38,17,11
293,38,17,11
294,38,17,11
295,38,17,11
296,38,17,11
297,38,17,11
298,38,17,11
299,39,17,11
300,39,17,11
301,39,17,11
302,39,17,11
303,39,17,11
304,39,17,11
305,39,17,11
306,39,17,11
307,40,18,11
308,40,19,11
309,40,19,11
310,40,19,11
311,40,19,11
312,40,19,11
313,40,19,11
314,40,19,11
315,41,19,11
316,41,19,11
317,41,19,11
318,41,19,11
319,41,19,11
320,41,19,11
321,41,19,11
322,41,19,11
323,42,19,11
324,42,19,11
325,42,19,11
326,42,19,10012
327,42,19,12
328,42,19,12
329,42,19,12
330,42,19,12
331,43,19,12
332,43,19,12
333,43,19,12
334,43,19,12
335,43,19,12
336,43,19,12
337,43,19,12
338,43,19,12
339,44,19,12
340,44,19,12
341,44,19,12
342,44,19,12
343,44,19,12
344,44,19,12
345,44,19,12
346,44,19,12
347,45,20,12
348,45,21,12
349,45,21,12
350,45,21,12
351,45,21,12
352,45,21,12
353,45,21,12
354,45,21,12
355,46,21,12
356,46,21,12
357,46,21,12
358,46,21,12
359,46,21,12
360,46,21,12
361,46,21,12
362,46,21,12
363,47,21,12
364,47,21,12
365,47,21,12
366,47,21,12
367,47,21,12
368,47,21,12
369,47,21,12
370,47,21,12
371,48,21,12
372,48,21,12
373,48,21,12
374,48,21,12
375,48,21,12
376,48,21,12
377,48,21,12
378,48,21,12
379,49,21,12
380,49,21,12
381,49,21,12
382,49,21,12
383,49,21,12
384,49,21,12
385,49,21,12
386,49,21,12
387,50,22,12
388,50,23,12
389,50,23,12
390,50,23,10013
391,50,23,13
392,50,23,13
