id,npc头像,npc立绘,npc通讯录,npc半身,npc名称,是否为特殊npc,完成音效,提醒音效,出场台词
id,img1,img2,img3,img4,npcname,special,voice1,vioce2,word
int,string,string,string,string,string,int,string,string,string
1,Avatar_02,npc_b,addressbook_b,null,主角,0,order_done_npc_b.ogg,notice_order_default.ogg,null
2,Avatar_03,npc_c,addressbook_c,null,妮娜,0,order_done_npc_c.ogg,notice_order_default.ogg,null
3,null,npc_sp_tlp,null,null,建国,1,order_done_npc_sp_tlp.ogg,notice_order_default.ogg,M!A!G!A!
4,UI_zdn_wj_jige,npc_sp_cxk,null,UI_zjm_icon_daka1,鸡哥,1,order_done_npc_sp_cxk.ogg,notice_order_default.ogg,唱跳RAP样样行!
5,null,npc_sp_tl,null,null,小霉,1,order_done_npc_sp_tl.ogg,notice_order_default.ogg,灵感永不枯竭!
6,null,npc_sp_xlz,null,null,小李子,1,order_done_npc_sp_xlz.ogg,notice_order_default.ogg,我的奥斯卡呢?
7,null,npc_sp_qbs,null,null,乔帮主,1,order_done_npc_sp_qbs.ogg,notice_order_default.ogg,一天一个苹果
8,null,npc_sp_cl,null,null,龙哥,1,order_done_npc_sp_cl.ogg,notice_order_default.ogg,Duang!
9,null,npc_sp_msk,null,null,钢丝客,1,order_done_npc_sp_msk.ogg,notice_order_default.ogg,立志要当火星人
10,null,npc_sp_kb,null,null,曼巴哥,1,order_done_npc_sp_kb.ogg,notice_order_default.ogg,曼巴奥特!
11,null,npc_sp_mj,null,null,流行之王,1,order_done_npc_sp_mj.ogg,notice_order_default.ogg,地球当前版本唯一真神
12,null,npc_sp_gaga,null,null,扑克脸女王,1,order_done_npc_sp_gaga.ogg,notice_order_default.ogg,每天造型不重样
13,null,npc_sp_zms,null,null,Taco哥,1,order_done_npc_sp_zms.ogg,notice_order_default.ogg,G!O!A!T!
14,UI_zdn_wj_dingzhen,npc_sp_dingzhen,null,UI_zjm_icon_daka3,纯真哥,1,order_done_npc_sp_dingzhen.ogg,notice_order_default.ogg,芝士雪豹~
15,UI_zdn_wj_wujing,npc_sp_wujing,null,UI_zjm_icon_daka4,兵王,1,order_done_npc_sp_wujing.ogg,notice_order_default.ogg,坦克是没有后视镜的~
16,null,npc_sp_qs,null,null,石头哥,1,order_done_npc_sp_qs.ogg,notice_order_default.ogg,一拳打死一头牛
17,null,npc_sp_zl,null,null,劳拉,1,order_done_npc_sp_zl.ogg,notice_order_default.ogg,皮特你人呢?
18,null,npc_sp_liweisi,null,null,强尼金手,1,order_done_npc_sp_liweisi.ogg,notice_order_default.ogg,没人比我更懂子弹时间
19,null,npc_sp_kuting,null,null,纽碧导演,1,order_done_npc_sp_kuting.ogg,notice_order_default.ogg,暴力美学缔造者!
20,UI_zdn_wj_shanyichun,npc_sp_shanyichun,null,UI_zjm_icon_daka2,打野歌后,1,order_done_npc_sp_shanyichun.ogg,notice_order_default.ogg,如何呢?又能怎?
21,null,npc_sp_bas,null,null,碧局长,1,order_done_npc_sp_biangsi.ogg,notice_order_default.ogg,没人敢说我坏话!
22,null,npc_sp_snoop,null,null,狗爷,1,order_done_npc_sp_snoop.ogg,notice_order_default.ogg,我玩儿的就是西海岸
23,Avatar_04,npc_d,addressbook_d,null,Clara,0,order_done_npc_d.ogg,notice_order_default.ogg,null
24,Avatar_05,npc_g,addressbook_g,null,Zaza,0,order_done_npc_g.ogg,notice_order_default.ogg,null
25,Avatar_06,npc_h,addressbook_h,null,Ah Hu,0,order_done_npc_h.ogg,notice_order_default.ogg,null
26,null,npc_kala_1,null,null,路人1,0,order_done_npc_kala_1.ogg,notice_order_default.ogg,null
27,null,npc_kala_2,null,null,路人2,0,order_done_npc_kala_2.ogg,notice_order_default.ogg,null
28,null,npc_kala_3,null,null,路人3,0,order_done_npc_kala_3.ogg,notice_order_default.ogg,null
29,null,npc_kala_4,null,null,路人4,0,order_done_npc_kala_4.ogg,notice_order_default.ogg,null
30,null,npc_kala_5,null,null,路人5,0,order_done_npc_kala_5.ogg,notice_order_default.ogg,null
