库ID,npcid
id,npcid
int,string
1,52
2,39
3,1;2;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;51;52;53;54;55;56;57;57;59;60
4,3
5,3;1;2;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;51;52;53;54;55;56;57;57;59;60
6,6
7,3;6;1;2;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;51;52;53;54;55;56;57;57;59;60
8,5
9,3;6;5;1;2;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;51;52;53;54;55;56;57;57;59;60
10,9
11,3;6;5;9;1;2;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;51;52;53;54;55;56;57;57;59;60
12,10
13,3;6;5;9;10;1;2;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;51;52;53;54;55;56;57;57;59;60
14,13
15,3;6;5;9;10;13;1;2;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;51;52;53;54;55;56;57;57;59;60
16,22
17,3;6;5;9;10;13;22;1;2;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;51;52;53;54;55;56;57;57;59;60
18,43
19,3;6;5;9;10;13;22;43;1;2;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;51;52;53;54;55;56;57;57;59;60
20,11
21,3;6;5;9;10;13;22;43;11;1;2;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;51;52;53;54;55;56;57;57;59;60
22,12
23,3;6;5;9;10;13;22;43;11;12;1;2;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;51;52;53;54;55;56;57;57;59;60
24,18
25,3;6;5;9;10;13;22;43;11;12;18;1;2;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;51;52;53;54;55;56;57;57;59;60
26,16
27,3;6;5;9;10;13;22;43;11;12;18;16;1;2;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;51;52;53;54;55;56;57;57;59;60
28,42
29,3;6;5;9;10;13;22;43;11;12;18;16;42;1;2;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;51;52;53;54;55;56;57;57;59;60
30,44
31,3;6;5;9;10;13;22;43;11;12;18;16;42;44;1;2;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;51;52;53;54;55;56;57;57;59;60
32,49
33,3;6;5;9;10;13;22;43;11;12;18;16;42;44;49;1;2;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;51;52;53;54;55;56;57;57;59;60
34,7
35,3;6;5;9;10;13;22;43;11;12;18;16;42;44;49;7;1;2;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;51;52;53;54;55;56;57;57;59;60
36,8
37,3;6;5;9;10;13;22;43;11;12;18;16;42;44;49;7;8;1;2;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;51;52;53;54;55;56;57;57;59;60
38,17
39,3;6;5;9;10;13;22;43;11;12;18;16;42;44;49;7;8;17;1;2;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;51;52;53;54;55;56;57;57;59;60
40,19
41,3;6;5;9;10;13;22;43;11;12;18;16;42;44;49;7;8;17;19;1;2;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;51;52;53;54;55;56;57;57;59;60
42,21
43,3;6;5;9;10;13;22;43;11;12;18;16;42;44;49;7;8;17;19;21;1;2;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;51;52;53;54;55;56;57;57;59;60
44,3;6;5;9;10;13;22;43;11;12;18;16;42;44;49;8;17;19;20;1;2;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;51;52;53;54;55;56;57;57;59;60
