物品,组成方块(色彩#数量),名称,图片,收益
id,block,name,img,reward
int,string,string,string,string
1,6#5,果汁潘趣酒,Icon_order_gzpqj,1#0
2,7#5,披萨切片,Icon_order_pisa,1#0
3,8#5,野格酒,Icon_order_yege,1#0
4,9#5,薯条篮,Icon_order_shutiaolan,1#0
5,10#5,派对王冠​,Icon_order_wg,1#0
6,11#5,朗姆酒,Icon_order_lmj,1#0
7,12#5,拍立得​,Icon_order_pld,1#0
8,13#5,经典可乐,Icon_order_kele,1#0
9,14#5,骰子​,Icon_order_sz,1#0
10,15#5,柠檬莫吉托,Icon_order_mojituo,1#0
11,16#5,玩具手铐,Icon_order_wjsk,1#0
12,17#5,龙舌兰shots,Icon_order_shots,1#0
13,18#5,充电宝,Icon_order_cdb,1#0
14,19#5,茅台,Icon_order_mt,1#0
15,20#5,吓人鬼面,Icon_order_youlingmianju,1#0
16,21#5,鸡尾酒“飓风”,Icon_order_jfjwj,1#0
17,22#5,杜蕾斯,Icon_order_duleisipng,1#0
18,23#5,苏打水​,Icon_order_sudashui,1#0
19,24#5,红纸杯,Icon_order_hbz,1#0
20,25#5,麦克风​,Icon_order_ktvmkf,1#0
21,26#5,一杯威士忌,Icon_order_weishiji,1#0
22,27#5,尤克里里,Icon_order_youkelili,1#0
23,28#5,香槟,Icon_order_xiangbin,1#0
24,29#5,桶装啤酒,Icon_order_pjt,1#0
25,30#5,伏特加,Icon_order_ftj,1#0
