id,类型,类型id（类型为1时填入npcid）,文本1,非双选按钮文本导向,选项1文本,选项2文本,按钮1通往id,按钮2通往id,道具奖励,好感度奖励
id,dialogue_type,typeid,txt1,next,button1,button2,button1to,button2to,reward1,goodfeel_reward
int,int,int,string,int,string,string,int,int,string,string
1,10,1,talk1,2,null,null,0,0,null,null
2,1,1,我在黑珍珠海滩拍到的。,0,赞扬照片,表示一般,3,25,null,null
3,2,0,这也太辣了！,4,null,null,0,0,null,null
4,6,1,那必须的！,5,null,null,0,0,null,null
5,6,1,哥们儿现在就在海滩当义务救生员。,6,null,null,0,0,null,null
6,1,1,你知道吗？最近游客越来越少了...,0,打趣他,null,7,0,null,null
7,2,0,你搞的鬼？,8,null,null,0,0,null,null
8,1,1,狗屁，市政厅要把岛卖给哈夫克地产，说不定到时候要把我们本地人都迁走！,0,为什么？,null,9,0,null,null
9,2,0,为什么？,10,null,null,0,0,null,null
10,1,1,岛上已经没什么年轻人了，很多商店都在关门,0,哎...,null,11,0,null,null
11,2,0,哎...,12,null,null,0,0,null,null
12,1,1,本来我还想去城里投奔你呢，没想到发生这种事情...,0,提议本地发展,提议离开,13,26,null,null
13,2,0,我们在这里也可以过的很好！,14,null,null,0,0,null,null
14,6,1,也许吧，管他呢~,15,null,null,0,0,null,null
15,1,1,你爷爷过几天就要出院了。,0,天，我差点忘记了！,null,16,0,null,null
16,7,0,天，我差点忘记了！,17,null,null,0,0,null,null
17,2,0,总不能让老爷子住在猪圈里，这几天我们需要打理一下房子。,18,null,null,0,0,null,null
18,1,1,我会帮你的，但这里很多东西都需要维修...,0,我也没有钱了,null,19,0,null,null
19,2,0,我也没有钱了...,20,null,null,0,0,null,null
20,6,1,我有个主意！,21,null,null,0,0,null,null
21,1,1,我们在这里办派对吧！向客人收一笔酒水费！,0,你真是个天才， Dex！,null,22,0,null,null
22,2,0,你真是个天才，Dex！,23,null,null,0,0,null,null
23,1,1,我再盘算一下，明天晚上再和你讨论。,0,好，晚安！,null,24,0,null,null
24,11,0,好，晚安！,0,null,null,0,0,null,1#40
25,2,0,就这？,27,null,null,0,0,null,null
26,2,0,或许离开是个不错的选择...,28,null,null,0,0,null,null
27,6,1,大城市回来的就是不一样！,5,null,null,0,0,null,null
28,6,1,你倒是可以走，但你爷爷怎么办？,15,null,null,0,0,null,null
100000,4,0,null,0,null,null,0,0,null,null
100001,5,0,null,0,null,null,0,0,null,null
100002,9,0,null,0,null,null,0,0,null,null
100003,10,0,null,0,null,null,0,0,null,null
29,1,2,我觉得你挺适合干这个的！,0,什么?,null,30,0,null,null
30,2,0,什么?,31,null,null,0,0,null,null
31,1,2,举办派对。,0,表示谦虚,自吹自擂,32,49,null,null
32,2,0,总不能靠这个吃饭吧。,33,null,null,0,0,null,null
33,1,2,你爷爷当初就是靠这个吃饭的。,0,什么意思？,null,34,0,null,null
34,2,0,什么意思？,35,null,null,0,0,null,null
35,1,2,你爷爷当年可是这里的派对之王！,0,派对之王？,null,36,0,null,null
36,2,0,什么是派对之王？,37,null,null,0,0,null,null
37,6,2,他曾经举办了很多精彩的派对，很多明星都抢着来！,38,null,null,0,0,null,null
