ID,分数下限,排名
id,score,rank
int,int,int
1,0,0
2,100,2
3,200,4
4,300,6
5,400,8
6,500,10
7,600,12
8,700,16
9,800,20
10,900,24
11,1000,28
12,1100,32
13,1200,36
14,1300,40
15,1400,43
16,1500,46
17,1600,49
18,1700,52
19,1800,55
20,1900,58
21,2000,61
22,2200,63
23,2400,65
24,2600,67
25,2800,69
26,3000,71
27,3200,73
28,3400,75
29,3600,77
30,3800,79
31,4000,81
32,4200,83
33,4400,85
34,4600,87
35,4800,89
36,5000,90
37,7000,91
38,9000,92
39,11000,93
40,13000,94
41,15000,95
42,17000,96
43,19000,97
44,21000,98
45,25000,99
46,30000,100
47,9000000,100
